modelbin,type,lmin,lmax,wmin,wmax
sky130_fd_pr__nfet_01v8__model.121,nmos,1.0e-06,2.0e-06,5.8e-07,6.0e-7
sky130_fd_pr__nfet_01v8__model.122,nmos,5.0e-07,1.0e-06,5.8e-07,6.0e-7
sky130_fd_pr__nfet_01v8__model.123,nmos,2.5e-07,5.0e-07,5.8e-07,6.0e-7
sky130_fd_pr__nfet_01v8__model.124,nmos,1.8e-07,2.5e-07,5.8e-07,6.0e-7
sky130_fd_pr__nfet_01v8__model.125,nmos,1.5e-07,1.8e-07,5.8e-07,6.0e-7
sky130_fd_pr__nfet_01v8__model.126,nmos,2.0e-05,0.0001,5.5e-07,5.8e-7
sky130_fd_pr__nfet_01v8__model.127,nmos,8.0e-06,2.0e-05,5.5e-07,5.8e-7
sky130_fd_pr__nfet_01v8__model.128,nmos,4.0e-06,8.0e-06,5.5e-07,5.8e-7
sky130_fd_pr__nfet_01v8__model.129,nmos,2.0e-06,4.0e-06,5.5e-07,5.8e-7
sky130_fd_pr__nfet_01v8__model.130,nmos,1.0e-06,2.0e-06,5.5e-07,5.8e-7
sky130_fd_pr__nfet_01v8__model.131,nmos,5.0e-07,1.0e-06,5.5e-07,5.8e-7
sky130_fd_pr__nfet_01v8__model.132,nmos,2.5e-07,5.0e-07,5.5e-07,5.8e-7
sky130_fd_pr__nfet_01v8__model.133,nmos,1.8e-07,2.5e-07,5.5e-07,5.8e-7
sky130_fd_pr__nfet_01v8__model.134,nmos,1.5e-07,1.8e-07,5.5e-07,5.8e-7
sky130_fd_pr__nfet_01v8__model.135,nmos,2.0e-05,0.0001,5.4e-07,5.5e-7
sky130_fd_pr__nfet_01v8__model.136,nmos,8.0e-06,2.0e-05,5.4e-07,5.5e-7
sky130_fd_pr__nfet_01v8__model.137,nmos,4.0e-06,8.0e-06,5.4e-07,5.5e-7
sky130_fd_pr__nfet_01v8__model.138,nmos,2.0e-06,4.0e-06,5.4e-07,5.5e-7
sky130_fd_pr__nfet_01v8__model.139,nmos,1.0e-06,2.0e-06,5.4e-07,5.5e-7
sky130_fd_pr__nfet_01v8__model.140,nmos,5.0e-07,1.0e-06,5.4e-07,5.5e-7
sky130_fd_pr__nfet_01v8__model.141,nmos,2.5e-07,5.0e-07,5.4e-07,5.5e-7
sky130_fd_pr__nfet_01v8__model.142,nmos,1.8e-07,2.5e-07,5.4e-07,5.5e-7
sky130_fd_pr__nfet_01v8__model.143,nmos,1.5e-07,1.8e-07,5.4e-07,5.5e-7
sky130_fd_pr__nfet_01v8__model.144,nmos,2.0e-05,0.0001,5.2e-07,5.4e-7
sky130_fd_pr__nfet_01v8__model.145,nmos,8.0e-06,2.0e-05,5.2e-07,5.4e-7
sky130_fd_pr__nfet_01v8__model.146,nmos,4.0e-06,8.0e-06,5.2e-07,5.4e-7
sky130_fd_pr__nfet_01v8__model.147,nmos,2.0e-06,4.0e-06,5.2e-07,5.4e-7
sky130_fd_pr__nfet_01v8__model.148,nmos,1.0e-06,2.0e-06,5.2e-07,5.4e-7
sky130_fd_pr__nfet_01v8__model.149,nmos,5.0e-07,1.0e-06,5.2e-07,5.4e-7
sky130_fd_pr__nfet_01v8__model.150,nmos,2.5e-07,5.0e-07,5.2e-07,5.4e-7
sky130_fd_pr__nfet_01v8__model.151,nmos,1.8e-07,2.5e-07,5.2e-07,5.4e-7
sky130_fd_pr__nfet_01v8__model.152,nmos,1.5e-07,1.8e-07,5.2e-07,5.4e-7
sky130_fd_pr__nfet_01v8__model.153,nmos,2.0e-05,0.0001,4.2e-07,5.2e-7
sky130_fd_pr__nfet_01v8__model.154,nmos,8.0e-06,2.0e-05,4.2e-07,5.2e-7
sky130_fd_pr__nfet_01v8__model.155,nmos,4.0e-06,8.0e-06,4.2e-07,5.2e-7
sky130_fd_pr__nfet_01v8__model.156,nmos,2.0e-06,4.0e-06,4.2e-07,5.2e-7
sky130_fd_pr__nfet_01v8__model.157,nmos,1.0e-06,2.0e-06,4.2e-07,5.2e-7
sky130_fd_pr__nfet_01v8__model.158,nmos,5.0e-07,1.0e-06,4.2e-07,5.2e-7
sky130_fd_pr__nfet_01v8__model.159,nmos,2.5e-07,5.0e-07,4.2e-07,5.2e-7
sky130_fd_pr__nfet_01v8__model.160,nmos,1.8e-07,2.5e-07,4.2e-07,5.2e-7
sky130_fd_pr__nfet_01v8__model.161,nmos,1.5e-07,1.8e-07,4.2e-07,5.2e-7
sky130_fd_pr__nfet_01v8__model.162,nmos,2.0e-05,0.0001,3.9e-07,4.2e-7
sky130_fd_pr__nfet_01v8__model.163,nmos,8.0e-06,2.0e-05,3.9e-07,4.2e-7
sky130_fd_pr__nfet_01v8__model.164,nmos,4.0e-06,8.0e-06,3.9e-07,4.2e-7
sky130_fd_pr__nfet_01v8__model.165,nmos,2.0e-06,4.0e-06,3.9e-07,4.2e-7
sky130_fd_pr__nfet_01v8__model.166,nmos,1.0e-06,2.0e-06,3.9e-07,4.2e-7
